Date,Open,High,Low,Close,Adj Close,Volume
2020-01-07,45.838680,46.858387,44.723019,46.424583,46.424583,3611521906
2020-01-08,46.448353,48.202766,44.627048,45.653767,45.653767,3633957130
2020-01-09,45.622269,45.777832,44.310505,45.215931,45.215931,2986327757
2020-01-10,45.211540,49.166721,44.033104,48.727329,48.727329,3808140301
2020-01-11,48.633858,51.334717,48.088394,49.263767,49.263767,3915781114
2020-01-12,49.319157,51.298828,49.012787,51.080738,51.080738,3858852964
2020-01-13,51.122311,51.390354,48.934132,49.733768,49.733768,3336204743
2020-01-14,49.697361,59.881504,49.690269,58.478233,58.478233,5729547956
2020-01-15,58.390266,59.923035,56.166744,58.052849,58.052849,5070738793
2020-01-16,58.047966,58.302067,55.148739,57.618256,57.618256,4347723834
2020-01-17,57.642967,62.889545,56.898815,61.487125,61.487125,5067456613
2020-01-18,61.302834,62.165672,58.525059,59.408646,59.408646,4426051529
2020-01-19,59.445709,61.785957,56.180393,57.800694,57.800694,4197776578
2020-01-20,57.781528,58.088066,56.226814,57.203262,57.203262,3306438947
2020-01-21,57.233521,57.963223,56.271973,57.647881,57.647881,3130143641
2020-01-22,57.639595,58.990894,57.316280,58.354725,58.354725,3076205980
2020-01-23,58.350388,58.476700,53.385658,54.630260,54.630260,3348002983
2020-01-24,54.643814,55.424435,51.364414,54.531788,54.531788,3532776555
2020-01-25,54.564056,54.564056,52.769215,53.697788,53.697788,2938756557
2020-01-26,53.687065,56.475266,53.298935,56.212715,56.212715,3283750798
2020-01-27,56.275341,59.577499,56.078888,58.763268,58.763268,3832184227
2020-01-28,58.768562,61.153355,57.763199,60.671814,60.671814,4220742210
2020-01-29,60.663765,62.249874,59.783073,60.077934,60.077934,3894445882
2020-01-30,60.013916,69.738029,58.776905,68.159065,68.159065,6042169956
2020-01-31,68.179039,69.379814,65.789146,67.879494,67.879494,5718104790
2020-02-01,67.908516,72.282326,67.655067,70.820015,70.820015,6009767448
2020-02-02,70.802345,73.253723,68.128952,70.231544,70.231544,5482993030
2020-02-03,69.992584,72.385323,68.967522,69.780220,69.780220,4965069689
2020-02-04,69.769485,70.332077,66.904259,68.195778,68.195778,4449652116
2020-02-05,68.114609,73.181595,67.877815,72.493103,72.493103,5169585841
2020-02-06,72.532379,74.656769,71.106438,73.388687,73.388687,5463272393
2020-02-07,73.467918,74.958794,73.222267,74.356117,74.356117,5051951257
2020-02-08,74.395378,77.421730,72.139503,76.467560,76.467560,5496860398
2020-02-09,76.449097,78.201385,75.691269,77.092583,77.092583,5145711108
2020-02-10,77.143051,77.560341,73.124710,74.335098,74.335098,5373709984
2020-02-11,74.346077,76.631233,72.846199,76.597397,76.597397,4742120918
2020-02-12,76.493523,82.271889,76.454636,81.297455,81.297455,5701884853
2020-02-13,81.229721,83.689163,78.582314,80.403427,80.403427,6579062945
2020-02-14,80.375511,83.464310,79.428391,82.990349,82.990349,5382846670
2020-02-15,83.025452,83.384163,76.103004,76.513245,76.513245,5612667759
2020-02-16,76.729309,80.411926,69.575989,75.152588,75.152588,6186098306
2020-02-17,74.968086,75.383469,69.440193,73.251305,73.251305,5593944695
2020-02-18,73.185623,78.013863,70.892563,77.035179,77.035179,5600214717
2020-02-19,77.075516,78.198822,70.544571,71.135941,71.135941,5298677184
2020-02-20,70.981949,72.166733,67.459274,69.624847,69.624847,5500324692
2020-02-21,69.570442,74.939362,68.914688,73.450920,73.450920,5579449655
2020-02-22,73.485863,76.485184,72.574387,75.133080,75.133080,5547090433
2020-02-23,75.074013,79.800308,74.975014,79.536652,79.536652,5702486428
2020-02-24,79.559517,79.559517,72.376968,75.535622,75.535622,6355612213
2020-02-25,75.495399,75.807076,70.068893,71.180244,71.180244,5755711245
2020-02-26,71.180382,71.864975,58.579491,61.014309,61.014309,6518313483
2020-02-27,61.027927,64.623657,57.804031,61.507885,61.507885,5649302853
2020-02-28,61.437935,63.171490,57.840664,59.763958,59.763958,5266399748
2020-02-29,59.748737,61.377529,58.385159,58.543262,58.543262,4168117351
2020-03-01,58.530544,60.118355,56.646225,57.956688,57.956688,4317287190
2020-03-02,57.984009,61.941238,57.554787,60.995548,60.995548,5309970237
2020-03-03,61.020573,62.354980,60.006020,61.144474,61.144474,5412760345
2020-03-04,61.143494,61.565731,59.362278,60.382420,60.382420,4429853607
2020-03-05,60.402779,63.143787,60.402779,62.045460,62.045460,4712202708
2020-03-06,62.049889,63.773262,61.459637,63.025600,63.025600,4766934523
2020-03-07,63.022015,63.757771,60.499599,60.546310,60.546310,4258036532
2020-03-08,60.579117,60.605022,51.728600,51.728600,51.728600,4523736331
2020-03-09,51.638126,52.307636,47.284203,50.168148,50.168148,5097423293
2020-03-10,50.479828,51.252319,49.395454,50.256390,50.256390,3945792927
2020-03-11,50.263767,50.611923,46.238441,48.463787,48.463787,3807551814
2020-03-12,48.449230,48.558250,30.627010,30.930883,30.930883,5417383295
2020-03-13,31.004513,39.247818,25.573105,37.437954,37.437954,7552238198
2020-03-14,37.536198,37.598465,34.044044,34.396587,34.396587,3270465986
2020-03-15,34.409904,38.231068,34.204185,36.437092,36.437092,3434485462
2020-03-16,36.445911,36.445911,30.608006,32.876217,32.876217,4079630236
2020-03-17,32.903088,35.421474,32.786667,33.563869,33.563869,3289527849
2020-03-18,33.555664,34.139050,32.781601,33.684177,33.684177,3170415991
2020-03-19,33.721718,40.229847,33.712875,39.073765,39.073765,4157185543
2020-03-20,39.108093,43.326027,35.585869,38.131954,38.131954,4537692969
2020-03-21,38.077866,39.336178,36.947292,38.342327,38.342327,3438721430
2020-03-22,38.371738,39.477177,35.498974,35.628056,35.628056,3148219028
2020-03-23,35.577431,38.845856,35.416386,38.765766,38.765766,3598154774
2020-03-24,38.747993,40.754646,38.268036,40.490646,40.490646,3331925793
2020-03-25,40.479458,40.696136,38.545746,39.151222,39.151222,3133347521
2020-03-26,39.172966,40.170464,38.787258,40.160599,40.160599,2827963692
2020-03-27,40.183334,40.595192,38.885971,38.918476,38.918476,2962853270
2020-03-28,38.862179,39.329887,37.102375,38.873756,38.873756,3119837444
2020-03-29,38.865280,38.934750,37.210598,37.332542,37.332542,2683734232
2020-03-30,37.264854,39.324711,37.260727,39.138290,39.138290,3318334904
2020-03-31,39.119137,39.372299,38.681515,39.299103,39.299103,3359087002
2020-04-01,39.284687,39.380814,37.445938,39.380814,39.380814,3303999600
2020-04-02,39.363480,41.645645,39.254028,39.874168,39.874168,3985953572
2020-04-03,39.887630,41.084400,39.684814,40.359135,40.359135,3482692345
2020-04-04,40.344574,40.833725,39.964409,40.675556,40.675556,3229457621
2020-04-05,40.690037,40.999851,39.928326,40.670139,40.670139,3084146014
2020-04-06,40.658787,44.494198,40.544903,44.391121,44.391121,4287968686
2020-04-07,44.402134,47.201740,44.114861,44.667931,44.667931,4391267712
2020-04-08,44.678623,46.753803,44.350834,46.319859,46.319859,3831132142
2020-04-09,46.348034,46.583435,45.174339,46.384979,46.384979,3628019377
2020-04-10,46.400341,46.468353,41.331821,42.269814,42.269814,4008964132
2020-04-11,42.256741,42.966843,41.688248,42.319099,42.319099,3374908252
2020-04-12,42.320835,43.286930,42.007198,42.450287,42.450287,3639638078
2020-04-13,42.499252,42.499252,39.959061,41.204342,41.204342,3998289643
2020-04-14,41.222858,41.823639,40.677822,41.053841,41.053841,3713345005
2020-04-15,41.080093,41.708027,39.449886,39.589069,39.589069,3696959520
2020-04-16,39.643715,43.014286,38.601559,42.689018,42.689018,4985504369
2020-04-17,42.675049,43.214794,42.000957,42.745037,42.745037,4096625537
2020-04-18,42.751598,44.381767,42.533524,44.362896,44.362896,4508378328
2020-04-19,44.348003,44.506847,42.596107,42.634750,42.634750,4563334113
2020-04-20,42.674625,43.375874,40.462975,40.828384,40.828384,4293209435
2020-04-21,40.809624,41.261909,40.416969,41.040142,41.040142,3954491837
2020-04-22,40.993271,42.320145,40.688766,41.887413,41.887413,4029531589
2020-04-23,41.877739,43.367367,41.433205,42.937214,42.937214,4757478697
2020-04-24,42.994709,45.172287,42.944038,44.810452,44.810452,4786600722
2020-04-25,44.815205,45.647770,44.370213,44.714909,44.714909,4769855703
2020-04-26,44.719917,45.339993,44.312630,44.689087,44.689087,4687873110
2020-04-27,44.677433,45.419842,43.885460,44.710064,44.710064,4473729901
2020-04-28,44.738171,46.307301,44.074814,46.028702,46.028702,4413476560
2020-04-29,46.091522,49.622128,46.007328,49.181301,49.181301,5673988959
2020-04-30,49.147854,50.921558,46.583843,46.714020,46.714020,5724477325
2020-05-01,46.714264,48.596474,46.714264,47.791702,47.791702,4581731064
2020-05-02,47.770359,49.567081,47.448662,49.458046,49.458046,4453777870
2020-05-03,49.464958,50.044678,47.550114,48.267159,48.267159,4667453994
2020-05-04,48.243027,48.346298,46.037292,47.473492,47.473492,4488284399
2020-05-05,47.450291,47.905041,46.370968,46.787258,46.787258,4187625276
2020-05-06,46.768917,47.778015,45.942867,45.942867,45.942867,4575858023
2020-05-07,46.019604,48.066963,45.031567,47.330116,47.330116,5080727910
2020-05-08,47.307724,48.545975,46.629044,47.882217,47.882217,4780707207
2020-05-09,47.839458,48.939835,47.133080,47.274185,47.274185,4740601427
2020-05-10,47.260593,47.260593,40.574226,42.367626,42.367626,5783062532
2020-05-11,42.358269,42.863327,40.135761,41.699963,41.699963,5121746342
2020-05-12,41.739212,42.684315,41.412777,42.111881,42.111881,4734936547
2020-05-13,42.074535,43.548279,41.953808,43.134560,43.134560,4565388581
2020-05-14,43.094921,44.229015,42.479401,43.945335,43.945335,5023559797
2020-05-15,43.945839,44.064014,42.467709,42.833981,42.833981,4340414828
2020-05-16,42.851364,43.741074,42.578533,43.212898,43.212898,3879155974
2020-05-17,43.180321,44.356815,43.096382,43.640835,43.640835,3901110454
2020-05-18,43.643074,46.244678,43.586998,45.201073,45.201073,4473025830
